"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dead","expan","dbh","g","height","slenderness","bearing","distance"
"774603","IFN3","26_277_A_1","IFN3_26_277_4",71,0,31.8309886183791,14.5,165.129963854314,15.3,105.51724137931,26,9.2
"774604","IFN3","26_277_A_1","IFN3_26_277_5",71,0,31.8309886183791,15.85,197.309690104115,15.5,97.7917981072555,54,8.3
"774605","IFN3","26_277_A_1","IFN3_26_277_6",71,0,31.8309886183791,15.15,180.266549958391,14.8,97.6897689768977,55,9
"774606","IFN3","26_277_A_1","IFN3_26_277_7",71,0,14.1471060526129,23.55,435.583784915633,15.7,66.6666666666667,106,11.9
"774607","IFN3","26_277_A_1","IFN3_26_277_8",71,0,5.09295817894065,47.65,1783.26420145258,20.7,43.4417628541448,148,28.2
"774608","IFN3","26_277_A_1","IFN3_26_277_9",71,0,14.1471060526129,34.5,934.820163983813,20,57.9710144927536,165,3.1
"774609","IFN3","26_277_A_1","IFN3_26_277_10",71,0,5.09295817894065,43.6,1493.01049269201,22.8,52.2935779816514,167,9
"774610","IFN3","26_277_A_1","IFN3_26_277_11",71,0,14.1471060526129,23.3,426.384808926841,13,55.793991416309,184,4.1
"774611","IFN3","26_277_A_1","IFN3_26_277_12",71,0,5.09295817894065,53.2,2222.86529797399,22.5,42.2932330827068,200,5
"774612","IFN3","26_277_A_1","IFN3_26_277_13",71,0,14.1471060526129,28.95,658.24416423881,19.1,65.9758203799655,253,11.8
"774613","IFN3","26_277_A_1","IFN3_26_277_14",71,0,14.1471060526129,22.65,402.926929281567,20,88.3002207505519,254,9.9
"774615","IFN3","26_277_A_1","IFN3_26_277_16",71,0,14.1471060526129,37.45,1101.52288766033,17,45.3938584779706,281,14.3
"774616","IFN3","26_277_A_1","IFN3_26_277_17",71,0,14.1471060526129,22.5,397.607820219958,20,88.8888888888889,286,13.2
"774617","IFN3","26_277_A_1","IFN3_26_277_18",71,0,14.1471060526129,39.2,1206.87423380306,22.1,56.3775510204082,302,11
"774618","IFN3","26_277_A_1","IFN3_26_277_19",71,0,14.1471060526129,32.9,850.122826043032,19,57.7507598784195,310,15.9
"774619","IFN3","26_277_A_1","IFN3_26_277_20",71,0,5.09295817894065,47.8,1794.50913965703,22.2,46.4435146443515,325,28.1
"774620","IFN3","26_277_A_1","IFN3_26_277_21",71,0,14.1471060526129,27.25,583.207223707818,18.5,67.8899082568807,333,10.6
"774621","IFN3","26_277_A_1","IFN3_26_277_22",71,0,14.1471060526129,31,754.767635024948,19.8,63.8709677419355,345,14.9
"774622","IFN3","26_277_A_1","IFN3_26_277_23",71,0,14.1471060526129,24.1,456.167107282872,18.8,78.0082987551867,349,14.8
"774623","IFN3","26_277_A_1","IFN3_26_277_24",71,0,5.09295817894065,45.05,1593.96753611053,18.2,40.3995560488346,350,19.2
"774624","IFN3","26_277_A_1","IFN3_26_277_25",71,0,31.8309886183791,14.25,159.484914554894,13.8,96.8421052631579,361,6
"774625","IFN3","26_277_A_1","IFN3_26_277_26",71,0,31.8309886183791,15.05,177.894647504931,11.9,79.0697674418605,368,6.6
"774626","IFN3","26_277_A_1","IFN3_26_277_27",71,0,31.8309886183791,16.1,203.583057934253,17,105.590062111801,386,8.1
"774627","IFN3","26_277_A_1","IFN3_26_277_28",71,0,31.8309886183791,15.85,197.309690104115,19,119.8738170347,391,6.8
"774628","IFN3","26_277_A_1","IFN3_26_277_29",71,0,31.8309886183791,13.75,148.48934026733,14.2,103.272727272727,397,7.5
"1188979","IFN3","42_105_A_1 ","IFN3_42_105_1",21,0,5.09295817894065,46.9,1727.56965419066,16.5,35.181236673774,0,3.4
"1188980","IFN3","42_105_A_1 ","IFN3_42_105_2",71,0,14.1471060526129,28.1,620.158243800259,16,56.9395017793594,16,13.4
"1188983","IFN3","42_105_A_1 ","IFN3_42_105_5",71,0,14.1471060526129,24.4,467.594650560305,16,65.5737704918033,66,11.1
"1188984","IFN3","42_105_A_1 ","IFN3_42_105_6",71,0,31.8309886183791,15.95,199.807256263719,13,81.5047021943574,112,4.1
"1188986","IFN3","42_105_A_1 ","IFN3_42_105_8",71,0,14.1471060526129,24.9,486.954715288052,14,56.2248995983936,138,6.1
"1188987","IFN3","42_105_A_1 ","IFN3_42_105_9",71,0,31.8309886183791,21.6,366.435367114714,13,60.1851851851852,154,5
"1188988","IFN3","42_105_A_1 ","IFN3_42_105_10",21,0,14.1471060526129,22.9,411.870650867256,14.5,63.3187772925764,156,11.7
"1188989","IFN3","42_105_A_1 ","IFN3_42_105_11",71,0,14.1471060526129,25,490.873852123405,13,52,158,14.4
"1188990","IFN3","42_105_A_1 ","IFN3_42_105_12",71,0,14.1471060526129,23.45,431.892413547665,11.5,49.0405117270789,161,12.6
"1188991","IFN3","42_105_A_1 ","IFN3_42_105_13",21,0,31.8309886183791,19.6,301.718558450764,10.5,53.5714285714286,204,9.9
"1188992","IFN3","42_105_A_1 ","IFN3_42_105_14",21,0,31.8309886183791,14.7,169.716689128555,11.5,78.2312925170068,254,7.6
"1188993","IFN3","42_105_A_1 ","IFN3_42_105_15",21,0,31.8309886183791,16.2,206.119894002026,12.5,77.1604938271605,261,7.7
"1188994","IFN3","42_105_A_1 ","IFN3_42_105_16",21,0,31.8309886183791,20.45,328.455475428221,11.5,56.2347188264059,261,5.4
"1188996","IFN3","42_105_A_1 ","IFN3_42_105_18",21,0,31.8309886183791,14.7,169.716689128555,11.5,78.2312925170068,277,7.5
"1188997","IFN3","42_105_A_1 ","IFN3_42_105_19",21,0,31.8309886183791,17.85,250.245526317103,12,67.2268907563025,288,5.7
"1188998","IFN3","42_105_A_1 ","IFN3_42_105_20",21,0,31.8309886183791,18,254.469004940773,12.5,69.4444444444444,304,5.9
"1188999","IFN3","42_105_A_1 ","IFN3_42_105_21",21,0,31.8309886183791,14.15,157.254383770846,10.5,74.2049469964664,310,9.5
"1189000","IFN3","42_105_A_1 ","IFN3_42_105_22",71,0,14.1471060526129,25.1,494.808696922026,13.5,53.7848605577689,389,6.9
"1189001","IFN3","42_106_A_1 ","IFN3_42_106_1",21,0,31.8309886183791,17.2,232.352192659501,6,34.8837209302326,7,6.7
"1189002","IFN3","42_106_A_1 ","IFN3_42_106_2",21,0,31.8309886183791,16.6,216.424317905801,9.5,57.2289156626506,8,5.7
"1189003","IFN3","42_106_A_1 ","IFN3_42_106_3",21,0,31.8309886183791,17.8,248.845554090848,12,67.4157303370786,22,1.3
"1189004","IFN3","42_106_A_1 ","IFN3_42_106_4",21,0,31.8309886183791,17.15,231.003271313866,10.5,61.2244897959184,24,4.4
"1189005","IFN3","42_106_A_1 ","IFN3_42_106_5",21,0,127.323954473516,10.25,82.5158945419444,10.5,102.439024390244,24,4.1
"1189006","IFN3","42_106_A_1 ","IFN3_42_106_6",21,0,31.8309886183791,16.6,216.424317905801,12,72.289156626506,36,8.4
"1189007","IFN3","42_106_A_1 ","IFN3_42_106_7",21,0,31.8309886183791,13.65,146.337349299621,7,51.2820512820513,47,9.8
"1189008","IFN3","42_106_A_1 ","IFN3_42_106_8",21,0,31.8309886183791,15.5,188.691908756237,11.5,74.1935483870968,47,7.3
"1189009","IFN3","42_106_A_1 ","IFN3_42_106_9",21,0,31.8309886183791,13.35,139.975624176102,10,74.9063670411985,50,2.9
"1189010","IFN3","42_106_A_1 ","IFN3_42_106_10",21,0,31.8309886183791,18.6,271.716348608981,9,48.3870967741935,60,8.5
"1189011","IFN3","42_106_A_1 ","IFN3_42_106_11",21,0,31.8309886183791,13.3,138.929081123375,11,82.7067669172932,63,6.7
"1189012","IFN3","42_106_A_1 ","IFN3_42_106_12",21,0,31.8309886183791,14.4,162.860163162095,9.5,65.9722222222222,78,8.4
"1189013","IFN3","42_106_A_1 ","IFN3_42_106_13",21,0,31.8309886183791,16.25,207.394202522139,8.5,52.3076923076923,78,5.9
"1189014","IFN3","42_106_A_1 ","IFN3_42_106_14",71,0,127.323954473516,8.95,62.9123563835441,8.5,94.9720670391062,85,4.6
"1189015","IFN3","42_106_A_1 ","IFN3_42_106_15",21,0,31.8309886183791,16.8,221.670777637296,7.5,44.6428571428571,89,8.1
"1189016","IFN3","42_106_A_1 ","IFN3_42_106_16",71,0,31.8309886183791,13.15,135.813013910095,11.5,87.4524714828897,91,4
"1189017","IFN3","42_106_A_1 ","IFN3_42_106_17",71,0,127.323954473516,8.4,55.4176944093239,10.5,125,92,1.9
