"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"121","37_1658_A_1","IFN4",37,1658,"A","1",688901,4464746,29,0,2018,48,21,26,31,2292.53853582592,2178.65433210239,82.0532151051549,31.8309886183791,17.4133384757791,18.4069642799091,37.9223076923077,61.00576325,49.0323006944444,11.3882375555556,0.585225,16.7821906210429,20.9492311076923,90,100,96.3754919505293,55.2425007403801,1402.5531010525,9.96950487075234,18.5553393511283,42.0281990624134,36.8806365114798,34.5856921096838,33.8430582093969,31.7948718771059
"122","37_1709_A_1","IFN4",37,1709,"A","1",688915,4461790,29,0,2018,48,21,26,NA,570.977200283457,551.737136051904,19.2400642315536,NA,26.3258795837463,26.9263954131534,35.4415760869565,32.5136020833333,29.7161743055556,2.79742777777778,NA,16.5777996964817,18.013586548913,65,100,62.9714940530111,50.8261441441441,643.22230275122,23.2322047255909,43.2400052105793,45.2906494883314,41.7958000474105,39.248990995234,38.4230373294723,35.9153508749513
"123","37_1742_A_1","IFN4",37,1742,"A","1",685899,4459776,29,0,2018,48,21,26,NA,361.034146462682,346.887040410069,14.1471060526129,NA,34.6163793103448,35.120755023,41.5372340425532,34.9756543333333,33.0758515555556,1.89980277777778,NA,16.2769593793103,17.3787234521277,85,95,47.0209759183165,41.838903944167,622.994961877383,30.2836339486201,56.3641938077104,49.5351077596767,43.8394160965406,41.0894942258001,40.3385732324069,37.651040748783
"124","37_1742_A_1","IFN4",37,1742,"A","1",685899,4459776,29,0,2018,38,21,26,NA,361.034146462682,346.887040410069,14.1471060526129,NA,34.6163793103448,35.120755023,41.5372340425532,34.9756543333333,33.0758515555556,1.89980277777778,NA,16.2769593793103,17.3787234521277,85,95,47.0209759183165,41.838903944167,622.994961877383,30.2836339486201,56.3641938077104,49.5351077596767,43.8394160965406,41.0894942258001,40.3385732324069,37.651040748783
"195","9_86_A_1","IFN4",9,86,"A","1",446915,4767849,30,0,2018,38,21,26,43,328.354331481146,236.539613199688,59.9837296630788,31.8309886183791,33.8371391641534,35.041555068887,43.606783919598,31.6664495555556,21.0667957777778,9.95965377777778,0.64,15.7109865648427,17.1170853919598,85,100,46.43119055847,39.2532625738239,564.553814529587,32.2402802251724,60.0059228727176,42.518602072319,41.3777088485227,39.5599391999974,38.0498698377411,36.7064000857223
"196","9_86_A_1","IFN4",9,86,"A","1",446915,4767849,30,0,2018,33,21,26,43,328.354331481146,236.539613199688,59.9837296630788,31.8309886183791,33.8371391641534,35.041555068887,43.606783919598,31.6664495555556,21.0667957777778,9.95965377777778,0.64,15.7109865648427,17.1170853919598,85,100,46.43119055847,39.2532625738239,564.553814529587,32.2402802251724,60.0059228727176,42.518602072319,41.3777088485227,39.5599391999974,38.0498698377411,36.7064000857223
"1","34_324_A_1","IFN4",34,324,"A","1",393919,4737785,30,0,2019,45,26,21,25,428.940255515224,117.703922357739,247.574355920726,31.8309886183791,28.7581794195251,30.3999928666583,42.7387978142077,31.1339089444444,16.284402,13.6503819444444,0.7569,14.6005937216359,16.3306011803279,75,100,50.7702296054352,38.2102492712116,587.103987950264,29.5664664479021,55.0293946857937,29.6719932834207,28.8366761816489,27.5645343406096,26.5395196256842,25.5143736948801
"2","37_1211_A_1","IFN4",37,1211,"A","1",697953,4467784,29,0,2018,36,26,21,NA,730.132143375353,622.472666314968,107.659477060384,NA,26.7794129044759,27.276251343028,34.8434782608696,42.6639161388889,36.5537756944444,6.11014044444444,NA,17.8310792842472,19.036956298913,75,100,66.585026893054,54.6356369946344,839.734839120865,19.4402458508409,36.182374501864,40.6534238440293,38.6211823638593,36.2993762813837,35.4983925063974,33.3134329148512
"3","37_1504_A_1","IFN4",37,1504,"A","1",245891,4470793,30,0,2018,50,26,21,68,483.689555938836,381.123037057392,70.7355302630646,31.8309886183791,29.1216291313249,30.2358266429333,39.772311827957,34.72964025,29.6862791388889,4.60776111111111,0.4356,15.7251826639368,18.2048384784946,80,100,53.998293134713,45.7726434340635,656.312324882869,24.9763985002245,46.4863156143586,32.5197456263647,30.1581364129347,28.3726298433636,27.7443247068238,26.1577285492369
"4","37_1658_A_1","IFN4",37,1658,"A","1",688901,4464746,29,0,2018,36,21,26,31,2292.53853582592,2178.65433210239,82.0532151051549,31.8309886183791,17.4133384757791,18.4069642799091,37.9223076923077,61.00576325,49.0323006944444,11.3882375555556,0.585225,16.7821906210429,20.9492311076923,90,100,96.3754919505293,55.2425007403801,1402.5531010525,9.96950487075234,18.5553393511283,42.0281990624134,36.8806365114798,34.5856921096838,33.8430582093969,31.7948718771059
"5","42_253_A_1","IFN4",42,253,"A","1",504894,4646835,30,0,2019,25,26,21,NA,360.468262220577,118.835690841949,241.632571378629,NA,34.289010989011,35.7569205956925,48.0192513368984,36.1973797777778,19.2325095555556,16.9648702222222,NA,18.5682889576138,20.8181817700535,90,95,54.1523025075428,43.353824123569,640.200922494959,25.300184449956,47.0889491706168,34.3139884770992,26.956878853402,25.5065554817124,24.1666664246474,22.8056337600589
"6","42_3139_A_1","IFN4",42,3139,"A","1",581892,4625791,30,0,2019,35,21,26,45,1287.38665078778,831.142480591009,74.2723067762178,381.971863420549,15.8017857142857,16.9596630775289,25.8375,29.08260625,23.3045034722222,3.63865277777778,2.13945,8.0016483478022,9.699999925,65,90,50.6376209150099,37.5423315916788,690.605330430233,28.7325233514415,53.4772516902321,27.189402893756,23.5466461058583,22.2172451797144,21.1175617103172,19.9823601293017
"7","42_322_A_1","IFN4",42,322,"A","1",503878,4639787,30,0,2019,40,21,26,43,481.991903212522,403.051051438942,47.109863155201,31.8309886183791,26.3031552685647,28.0828408768959,41.7945355191257,29.8546306388889,25.4170993888889,4.005225,0.43230625,14.0840035359554,16.4196719836066,85,100,53.5449203418853,39.2866478348413,580.889995361249,27.7405873204095,51.6310507094383,28.6415623457358,29.6116910856052,27.9733815550139,26.609206598389,25.0466579357685
"8","42_326_A_1","IFN4",42,326,"A","1",507891,4639792,30,0,2019,25,26,21,NA,200.323021704999,115.440385389321,84.8826363156775,NA,34.8940677966102,35.5617768362523,40.9776536312849,19.8970022222222,13.0401688888889,6.85683333333333,NA,14.6418079096045,15.6603351955307,70,80,41.9607366929771,38.2167689161554,352.667622070669,45.1163040920336,83.9709036255488,29.4532951004818,27.6276771898508,26.1305732899493,24.7427466446825,23.4223393048162
