"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"170","9_1347_A_1","IFN4",9,1347,"A","1",468890,4685767,30,0,2018,53,43,21,NA,1503.13001809012,1343.97507499823,159.154943091895,NA,15.9355294117647,17.0463285679661,28.5375,34.3042666666667,25.2169854166667,9.08728125,NA,11.8682353068235,14.5875,90,100,74.4765674246228,51.1169513797635,812.962207075766,17.6815713142385,32.9091123631814,26.9982754703134,27.7654516871383,26.3431541876687,25.184907072434,23.9338840921809
"171","9_1347_A_1","IFN4",9,1347,"A","1",468890,4685767,30,0,2018,48,43,21,NA,1503.13001809012,1343.97507499823,159.154943091895,NA,15.9355294117647,17.0463285679661,28.5375,34.3042666666667,25.2169854166667,9.08728125,NA,11.8682353068235,14.5875,90,100,74.4765674246228,51.1169513797635,812.962207075766,17.6815713142385,32.9091123631814,26.9982754703134,27.7654516871383,26.3431541876687,25.184907072434,23.9338840921809
"172","9_1357_A_1","IFN4",9,1357,"A","1",474893,4684760,30,0,2018,63,21,43,NA,551.312722870326,236.539613199688,314.773109670637,NA,26.9306261226585,27.9197955802878,36.440932642487,33.7529988611111,18.1190078888889,15.6339909722222,NA,15.6544521156017,18.148186492228,90,100,58.1288086073523,49.801652087984,658.253894057527,23.4675503888956,43.6780328462592,30.733359974285,30.85363363757,29.3322734714621,27.9620669693084,26.5910380057257
"173","9_1357_A_1","IFN4",9,1357,"A","1",474893,4684760,30,0,2018,68,21,43,NA,551.312722870326,236.539613199688,314.773109670637,NA,26.9306261226585,27.9197955802878,36.440932642487,33.7529988611111,18.1190078888889,15.6339909722222,NA,15.6544521156017,18.148186492228,90,100,58.1288086073523,49.801652087984,658.253894057527,23.4675503888956,43.6780328462592,30.733359974285,30.85363363757,29.3322734714621,27.9620669693084,26.5910380057257
"174","9_1389_A_1","IFN4",9,1389,"A","1",474906,4681800,30,0,2018,53,21,43,71,1319.21763940615,381.971863420549,923.098669932993,14.1471060526129,17.2217158176944,18.9707475533935,34.53125,37.2885263888889,23.6847069444444,12.576975,1.02684444444444,11.1380697099196,14.8875,85,95,64.6745645313449,43.1131221719457,847.126504089092,18.493537857658,34.4203523846503,32.469568751128,29.7742526673055,28.2185836081042,26.9688820548397,25.545334878401
"175","9_1390_A_1","IFN4",9,1390,"A","1",475904,4681783,30,0,2018,53,21,43,NA,1015.05485927498,427.949958091541,587.104901183436,NA,16.4470383275261,17.5171856879205,26.41875,24.4629069444444,16.8997631944444,7.56314375,NA,10.313240397561,14.187500125,65,90,62.7057601021122,53.7023898746156,573.529889670467,22.1232722764073,41.1760493593268,32.469568751128,31.3107996387948,29.6882493656472,28.2902160715274,26.9099202824969
"176","9_1400_A_1","IFN4",9,1400,"A","1",462893,4680792,30,0,2018,48,21,43,NA,848.826363156775,212.206590789194,636.619772367581,NA,15.105,17.4867193654689,32.1,20.3856902777778,14.3436027777778,6.0420875,NA,8.4691666625,13.775000025,80,95,56.0686306686528,42.9127726635514,478.268779564422,24.9171841525215,46.3761052949567,26.8845999388245,25.3390159063819,24.0858597039986,23.0040396671098,21.8103447766299
"178","9_1448_A_1","IFN4",9,1448,"A","1",471894,4677776,30,0,2018,55,21,43,NA,926.635446446146,735.649514735872,190.985931710274,NA,22.5389312977099,23.6226077184516,33.29375,40.6120083333333,38.3973583333333,2.21465,NA,12.3106870381679,16.087500125,85,99,54.6196573189731,48.3198802327764,846.070154357944,20.4200585088079,38.0060113428916,30.2803356607469,27.2946859536611,25.9218750803464,24.6575342398644,23.4690462934727
"179","9_1448_A_1","IFN4",9,1448,"A","1",471894,4677776,30,0,2018,48,21,43,NA,926.635446446146,735.649514735872,190.985931710274,NA,22.5389312977099,23.6226077184516,33.29375,40.6120083333333,38.3973583333333,2.21465,NA,12.3106870381679,16.087500125,85,99,54.6196573189731,48.3198802327764,846.070154357944,20.4200585088079,38.0060113428916,30.2803356607469,27.2946859536611,25.9218750803464,24.6575342398644,23.4690462934727
"180","9_1451_A_1","IFN4",9,1451,"A","1",476894,4677826,30,0,2018,43,21,43,22,2270.61052144437,1223.72467355102,855.899916183082,190.985931710274,16.880062305296,18.0616301707148,28.80625,58.1763430555556,44.1540243055556,11.5927125,2.42960625,11.0864485858255,15.562499875,95,100,65.6777705278214,54.0247337817314,1347.54671426251,13.4849492418203,25.0983185783662,40.228546845264,40.9096930965197,38.6501492834029,36.9192443849806,35.0698239893375
"181","9_1451_A_1","IFN4",9,1451,"A","1",476894,4677826,30,0,2018,55,21,43,22,2270.61052144437,1223.72467355102,855.899916183082,190.985931710274,16.880062305296,18.0616301707148,28.80625,58.1763430555556,44.1540243055556,11.5927125,2.42960625,11.0864485858255,15.562499875,95,100,65.6777705278214,54.0247337817314,1347.54671426251,13.4849492418203,25.0983185783662,40.228546845264,40.9096930965197,38.6501492834029,36.9192443849806,35.0698239893375
"182","9_1451_A_1","IFN4",9,1451,"A","1",476894,4677826,30,0,2018,58,21,43,22,2270.61052144437,1223.72467355102,855.899916183082,190.985931710274,16.880062305296,18.0616301707148,28.80625,58.1763430555556,44.1540243055556,11.5927125,2.42960625,11.0864485858255,15.562499875,95,100,65.6777705278214,54.0247337817314,1347.54671426251,13.4849492418203,25.0983185783662,40.228546845264,40.9096930965197,38.6501492834029,36.9192443849806,35.0698239893375
"183","9_1478_A_1","IFN4",9,1478,"A","1",470893,4675804,30,0,2018,58,21,43,NA,1015.05485927498,314.773109670637,700.281749604339,NA,14.2876306620209,15.2851437175742,25.8375,18.6259506944444,10.6694756944444,7.956475,NA,9.75296164738676,13.4,65,100,68.2615744912268,51.862602805999,460.838114146809,23.4234274766371,43.5959108531683,35.3878925951201,31.2805635296337,29.7046414567561,28.3623556392169,26.9467254220286
"185","9_1745_A_1","IFN4",9,1745,"A","1",476881,4667737,30,0,2018,48,21,43,NA,1764.85148006346,1386.41639315607,378.435086907396,NA,17.1236472945892,17.7551460264578,25.59375,43.6964888888889,36.4195069444444,7.27698194444444,NA,10.9198397138277,12.924999975,95,100,63.7705246199398,50.5006104029304,1019.01333756602,18.4168506962968,34.2776214946634,31.9670254032503,36.3107210659471,34.3496271697248,32.8217521249975,31.048292175209
"186","9_1754_A_1","IFN4",9,1754,"A","1",477888,4666816,30,0,2018,41,21,43,NA,1152.98914328795,1092.86394256435,60.1252007236049,NA,23.1266871165644,23.6919426002128,32.09375,50.8295708333333,48.7105534722222,2.11901736111111,NA,18.4263804539877,20.425000125,85,99,79.675832345178,63.6416751703992,1057.70749600915,14.4186740146227,26.8361761996341,31.9670254032503,31.2676057604167,29.620710206546,28.2656250370187,26.8393981296017
"187","9_1762_A_1","IFN4",9,1762,"A","1",474846,4665807,30,0,2018,48,21,43,NA,463.317723223073,353.677651315323,109.64007190775,NA,26.0034351145038,26.5956149889643,32.2125,25.7388340277778,22.8186,2.92023402777778,NA,15.5992364885496,17.825,75,100,59.9891376653114,55.3356616220411,511.688091086094,26.0633961253402,48.5094461578888,28.5042878298997,26.7355043566011,25.2388289964721,24.099099086765,22.9220898008018
"188","9_1984_A_1","IFN4",9,1984,"A","1",488908,4651827,30,0,2018,53,21,43,NA,2157.43367302347,788.70116243317,1368.7325105903,NA,15.3334426229508,16.8966998911952,31.78125,48.3761291666667,34.3078041666667,14.068325,NA,10.9416393465574,15.999999625,100,100,71.3580088673637,50.3441482792527,1150.44476751491,13.4558550791006,25.0441682399693,27.872192198951,25.4180063980618,24.0654206566823,22.9869391805212,21.6611295700127
"189","9_382_A_1","IFN4",9,382,"A","1",437856,4745777,30,0,2018,33,21,43,NA,1488.98291203751,1336.90152197192,152.081390065589,NA,21.3961995249406,22.3878466351639,33.73125,58.6143888888889,53.7125291666667,4.90185972222222,NA,14.6900236947743,17.38749975,90,100,68.6571635193943,51.547155086159,1247.28522681605,14.9045204204456,27.7404382517063,34.1365014879648,32.9315782509713,31.4596948148014,30.2456390200111,29.079431916861
"190","9_382_A_1","IFN4",9,382,"A","1",437856,4745777,30,0,2018,43,21,43,NA,1488.98291203751,1336.90152197192,152.081390065589,NA,21.3961995249406,22.3878466351639,33.73125,58.6143888888889,53.7125291666667,4.90185972222222,NA,14.6900236947743,17.38749975,90,100,68.6571635193943,51.547155086159,1247.28522681605,14.9045204204456,27.7404382517063,34.1365014879648,32.9315782509713,31.4596948148014,30.2456390200111,29.079431916861
