"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"724294","IFN4","34_475_A_1","IFN4_34_475_A_1_15",21,0,14.1471060526129,25.25,500.740416551086,13.8,54.6534653465347,241,7.5999999
"724295","IFN4","34_475_A_1","IFN4_34_475_A_1_16",26,0,5.09295817894065,58.9,2724.71116244006,20.4,34.634974533107,253,15.2
"724296","IFN4","34_475_A_1","IFN4_34_475_A_1_17",21,0,14.1471060526129,31.45,776.839286911825,15.6,49.6025437201908,288,11
"724298","IFN4","34_475_A_1","IFN4_34_475_A_1_19",21,0,14.1471060526129,27.4,589.645525152268,13.6,49.6350364963504,312,11.4
"724299","IFN4","34_475_A_1","IFN4_34_475_A_1_20",21,0,14.1471060526129,34.65,942.966706433653,17.4,50.2164502164502,327,7.1999998
"724301","IFN4","34_475_A_1","IFN4_34_475_A_1_22",26,0,5.09295817894065,47.85,1798.26530637347,17.799999,37.1995799373041,346,22.4
"724302","IFN4","34_475_A_1","IFN4_34_475_A_1_23",21,0,14.1471060526129,33.2,865.697271623204,16.6,50,351,7
"724303","IFN4","34_475_A_1","IFN4_34_475_A_1_24",21,0,14.1471060526129,29.15,667.370490897488,15.6,53.516295025729,355,12
"724304","IFN4","34_475_A_1","IFN4_34_475_A_1_25",21,0,14.1471060526129,38.05,1137.10142446223,16.5,43.3639947437582,386,14.2
"724560","IFN4","34_495_A_1","IFN4_34_495_A_1_1",21,0,14.1471060526129,33.95,905.251886627307,11.8,34.7569955817378,3,14
"724561","IFN4","34_495_A_1","IFN4_34_495_A_1_2",21,0,14.1471060526129,29.7,692.791865951255,11.4,38.3838383838384,23,11.9
"724562","IFN4","34_495_A_1","IFN4_34_495_A_1_3",21,0,14.1471060526129,30.1,711.578590019722,12.1,40.1993355481728,29,7.8000002
"724563","IFN4","34_495_A_1","IFN4_34_495_A_1_4",21,0,14.1471060526129,29.05,662.799473586515,13,44.750430292599,53,12.9
"724564","IFN4","34_495_A_1","IFN4_34_495_A_1_5",21,0,14.1471060526129,34.9,956.622816999726,11.8,33.810888252149,72,8
"724565","IFN4","34_495_A_1","IFN4_34_495_A_1_6",21,0,14.1471060526129,31.2,764.537988177612,12.8,41.025641025641,116,12.9
"724566","IFN4","34_495_A_1","IFN4_34_495_A_1_7",21,0,14.1471060526129,27.15,578.934657698936,12.6,46.4088397790055,123,2.0999999
"724567","IFN4","34_495_A_1","IFN4_34_495_A_1_8",21,0,14.1471060526129,31.55,781.787295341229,13.1,41.5213946117274,129,13.3
"724568","IFN4","34_495_A_1","IFN4_34_495_A_1_9",21,0,14.1471060526129,28.45,635.703236949303,12.6,44.2882249560633,158,14.2
"724569","IFN4","34_495_A_1","IFN4_34_495_A_1_10",25,0,14.1471060526129,31.05,757.204332826888,13.7,44.122383252818,160,12
"724570","IFN4","34_495_A_1","IFN4_34_495_A_1_11",26,0,14.1471060526129,29.25,671.957216171729,9.8000002,33.5042741880342,160,5.5999999
"724571","IFN4","34_495_A_1","IFN4_34_495_A_1_12",25,0,14.1471060526129,30.9,749.906020393518,12.9,41.747572815534,212,11.5
"724572","IFN4","34_495_A_1","IFN4_34_495_A_1_13",21,0,14.1471060526129,34.65,942.966706433653,13.4,38.6724386724387,212,6.5
"724573","IFN4","34_495_A_1","IFN4_34_495_A_1_14",26,0,14.1471060526129,35,962.112750161874,13.9,39.7142857142857,227,2.4000001
"724574","IFN4","34_495_A_1","IFN4_34_495_A_1_15",21,0,14.1471060526129,28.85,653.704562854373,13.2,45.7538994800693,237,9.6999998
"724575","IFN4","34_495_A_1","IFN4_34_495_A_1_16",25,0,14.1471060526129,29,660.519855417254,11.7,40.3448275862069,244,12.9
"724576","IFN4","34_495_A_1","IFN4_34_495_A_1_17",25,0,31.8309886183791,16.55,215.12252044997,12.4,74.9244712990937,250,4.4000001
"724577","IFN4","34_495_A_1","IFN4_34_495_A_1_18",21,0,14.1471060526129,29.5,683.492751696629,13.7,46.4406779661017,265,8.8999996
"724578","IFN4","34_495_A_1","IFN4_34_495_A_1_19",26,0,14.1471060526129,35.3,978.676797427926,13.8,39.0934844192635,317,6
"724579","IFN4","34_495_A_1","IFN4_34_495_A_1_20",26,0,5.09295817894065,42.7,1432.00861734093,14.6,34.192037470726,326,20.200001
"724580","IFN4","34_495_A_1","IFN4_34_495_A_1_21",25,0,14.1471060526129,35.1,967.61839128729,13.8,39.3162393162393,327,9.5
"724581","IFN4","34_495_A_1","IFN4_34_495_A_1_22",26,0,14.1471060526129,42,1385.4423602331,13.5,32.1428571428571,349,14.6
"724582","IFN4","34_495_A_1","IFN4_34_495_A_1_23",26,0,14.1471060526129,35.75,1003.78794020715,15.2,42.5174825174825,380,6.5999999
"818621","IFN4","37_1211_A_1","IFN4_37_1211_A_1_1",26,0,14.1471060526129,32.95,852.708749496018,21.200001,64.3399119878604,25,1.8
"818622","IFN4","37_1211_A_1","IFN4_37_1211_A_1_2",21,0,14.1471060526129,25.15,496.782009807562,12.8,50.8946322067594,28,13.3
"818623","IFN4","37_1211_A_1","IFN4_37_1211_A_1_3",26,0,14.1471060526129,29.55,685.81163977406,16.4,55.4991539763113,35,9.1999998
"818624","IFN4","37_1211_A_1","IFN4_37_1211_A_1_4",21,0,14.1471060526129,25.55,512.709884561263,18.4,72.0156555772994,39,5.6999998
"818625","IFN4","37_1211_A_1","IFN4_37_1211_A_1_5",26,0,14.1471060526129,31.3,769.446726698846,14.1,45.0479233226837,44,13.8
"818626","IFN4","37_1211_A_1","IFN4_37_1211_A_1_6",21,0,14.1471060526129,26.1,535.021082887976,14.8,56.7049808429119,45,8.3999996
"818627","IFN4","37_1211_A_1","IFN4_37_1211_A_1_7",21,0,14.1471060526129,33.1,860.490081799878,17.299999,52.2658580060423,53,7
"818631","IFN4","37_1211_A_1","IFN4_37_1211_A_1_11",26,0,14.1471060526129,25.75,520.768069717721,17.4,67.5728155339806,72,4.5999999
